zipcode,block,lot,cd,schooldist,council,firecomp,policeprct,healtharea,sanitboro,sanitsub,zonedist1,spdist1,ltdheight,landuse,lotarea,bldgarea,numbldgs,numfloors,unitsres,unitstotal,lotfront,lotdepth,bldgfront,bldgdepth,ext,proxcode,irrlotcode,lottype,assesstot,yearbuilt,residfar,commfar,facilfar,borocode,xcoord,ycoord,edesignum,sanitdistrict,healthcenterdistrict,pfirm15_flag,yearalter,income,assessland
11434,10314,33,412,29,27,E275,113,3510,4,5D,R,0,0,1,4000.0,1964.0,2,2.0,1,1,40.0,100.0,25.0,46.0,1,1,N,5,28728.0,1920,0.5,0.0,1.0,4,1048631.0,191868.0,0,12,44,0,2007,257977.67493452586,12678.0
10466,4877,56,212,11,12,L051,47,520,2,3E,R,0,0,1,3101.0,1188.0,1,2.0,1,1,28.17,110.08,18.33,33.0,0,2,N,5,23820.0,1955,0.9,0.0,2.0,2,1026096.0,263120.0,0,12,24,0,0,46174.286387505555,9120.0
10306,3684,28,502,31,50,E159,122,910,5,2E,R,0,0,1,2938.0,1280.0,1,2.0,1,1,25.5,113.0,17.0,58.0,1,2,Y,5,27572.0,1980,0.6,0.0,1.0,5,957460.0,149977.0,0,2,51,1,0,111575.89480241136,7091.0
10466,4871,9,212,11,12,L051,47,620,2,3E,R,0,0,1,1970.0,2232.0,1,2.0,1,1,18.0,109.42,18.0,33.0,1,2,N,5,24486.0,1945,0.9,0.0,2.0,2,1025631.0,261380.0,0,12,24,0,0,288349.431921758,8893.0
11234,7852,74,318,22,46,E323,63,8822,3,5E,R,0,0,1,1800.0,1120.0,1,2.0,1,1,18.0,100.0,14.0,27.0,0,2,N,5,20062.0,1925,0.6,0.0,1.0,3,1005708.0,166049.0,0,18,35,0,0,83227.4730085023,7097.0
11378,2645,53,405,24,30,E291,104,1600,4,1D,R,0,0,1,3730.0,2680.0,1,3.0,2,2,35.0,102.0,20.67,48.0,1,1,Y,5,44352.0,1950,0.9,0.0,2.0,4,1009921.0,199303.0,0,5,46,0,0,335812.1197464637,9403.0
11364,7605,97,411,26,23,E326,111,2140,4,5D,R,0,0,1,6000.0,1700.0,2,2.5,1,1,60.0,100.0,25.0,30.0,1,1,N,5,38695.0,1930,0.5,0.0,1.0,4,1050300.0,211241.0,0,11,43,0,0,192563.3535194184,15707.0
11218,5585,6,312,15,39,E282,66,6900,3,3D,R,0,0,4,1973.0,3800.0,1,3.0,2,3,19.17,102.92,19.0,50.0,0,2,N,5,33531.0,1920,2.43,0.0,4.8,3,986867.0,173454.0,0,12,39,0,0,157773.85924717085,9009.0
11212,3595,10,316,23,42,E227,73,5820,3,1A,R,0,0,2,2750.0,3198.0,1,2.0,4,4,27.5,100.0,20.5,78.0,0,0,Y,5,51066.0,1930,2.43,0.0,4.8,3,1007710.0,179275.0,0,16,33,0,0,60700.23956857089,31760.0
11234,8529,20,318,22,46,E309,63,8822,3,4E,R,0,0,1,1800.0,2250.0,1,3.0,2,2,18.0,100.0,18.0,46.0,0,2,N,5,31298.0,1945,1.25,0.0,2.0,3,1005106.0,162579.0,0,18,35,0,0,257943.44407762052,7917.0
11369,1392,33,403,30,21,E316,115,610,4,1C,R,0,0,1,1480.0,1226.0,1,2.0,1,1,21.0,75.0,20.0,40.0,1,2,Y,5,25561.0,1965,0.9,0.0,2.0,4,1019117.0,216519.0,0,3,42,0,0,220326.46449310464,4839.0
11435,10072,17,412,28,28,E303,103,3300,4,2C,R,0,0,1,2500.0,1400.0,1,2.5,2,2,25.0,100.0,16.0,35.0,0,1,N,5,26244.0,1920,0.9,0.0,2.0,4,1038123.0,190609.0,0,12,44,0,2011,45302.84826027133,10541.0
