,scores,support
zipcode_11362,5423.322605757116,False
zipcode_11363,7147.786286434607,False
zipcode_11364,4580.42197450651,False
zipcode_11365,4451.584285873058,False
zipcode_11366,4018.2692074592705,False
zipcode_11367,4426.504689400189,False
zipcode_11368,5075.512006108762,False
zipcode_11369,4034.9163745640653,False
zipcode_11370,4389.561476688573,False
zipcode_11372,5295.981239316064,False
zipcode_11373,5000.782286206385,False
zipcode_11374,5133.838442855691,False
zipcode_11375,5003.59152583639,False
zipcode_11377,4253.226474530713,False
zipcode_11378,3462.0041446046316,False
zipcode_11379,3865.4628223097293,False
zipcode_11385,5136.533220167253,False
zipcode_11411,3219.4292907896397,False
zipcode_11412,4440.944541525546,False
zipcode_11413,4692.729591962391,False
zipcode_11414,7213.397658730541,False
zipcode_11415,5750.350147331551,False
zipcode_11416,3908.442519715461,False
zipcode_11417,3741.8359527890893,False
zipcode_11418,3637.986277041839,False
zipcode_11419,3790.411985205102,False
zipcode_11420,3321.662135711885,False
zipcode_11421,2406.4923307426534,False
zipcode_11422,4781.865106894078,False
zipcode_11423,4645.42527314743,False
zipcode_11426,3682.0236372476757,False
zipcode_11427,3419.3948313734995,False
zipcode_11428,2933.978414168822,False
zipcode_11429,4135.72211654583,False
zipcode_11432,5263.8337512374765,False
zipcode_11433,5075.353413922811,False
zipcode_11434,4576.506782311475,False
zipcode_11435,4741.382806757463,False
zipcode_11436,5486.643604073139,False
zipcode_11691,5678.3390724618275,False
zipcode_11692,6495.026121795705,False
zipcode_11693,5662.5780045347265,False
zipcode_11694,6920.614665416342,False
firecomp_E001,9386.999999999996,True
firecomp_E003,7194.766666666858,False
firecomp_E004,4694.499999999794,False
firecomp_E005,9384.999999999976,False
firecomp_E006,9387.00000000002,True
firecomp_E007,9387.999999999993,True
firecomp_E008,9383.999999999973,False
firecomp_E009,9385.999999999956,True
firecomp_E010,9389.000000000067,True
firecomp_E014,9386.999999999993,True
firecomp_E015,8446.90000000001,False
firecomp_E016,8713.214285714148,False
firecomp_E021,9386.999999999973,True
firecomp_E022,9062.966666666616,False
firecomp_E023,9387.000000000051,True
firecomp_E024,9380.999999999935,False
firecomp_E026,9390.000000000018,True
firecomp_E028,8600.416666666613,False
firecomp_E033,9378.999999999969,False
firecomp_E034,9389.0000000001,True
firecomp_E035,7595.238095237908,False
firecomp_E037,6512.527777777798,False
firecomp_E038,4854.12414966097,False
firecomp_E039,9380.99999999995,False
firecomp_E040,9384.99999999999,False
firecomp_E042,6745.576190476084,False
firecomp_E043,6059.0208333332,False
firecomp_E044,9380.000000000051,False
firecomp_E045,5215.545918367509,False
firecomp_E046,6929.905555555341,False
firecomp_E047,9387.000000000102,True
firecomp_E048,5958.794094793993,False
firecomp_E050,5207.358928572045,False
firecomp_E052,7633.925925925778,False
firecomp_E053,8860.277777777688,False
firecomp_E054,8042.428571428477,False
firecomp_E055,9385.999999999953,False
