zipcode,block,lot,cd,schooldist,council,firecomp,policeprct,healtharea,sanitboro,sanitsub,zonedist1,spdist1,ltdheight,landuse,ownertype,lotarea,bldgarea,resarea,numbldgs,numfloors,unitsres,unitstotal,lotfront,lotdepth,bldgfront,bldgdepth,ext,proxcode,irrlotcode,lottype,assessland,assesstot,yearbuilt,borocode,xcoord,ycoord,edesignum,sanitdistrict,healthcenterdistrict,pfirm15_flag,last_modif
11436,12111.0,59.0,12.0,27.0,28.0,E302,113.0,3612.0,4.0,6C,R3A,0.0,0.0,11.0,,2450.0,0.0,1600.0,0.0,0.0,0.0,0.0,25.0,98.0,0.0,0.0,0.0,0.0,N,5.0,2984.0,2984.0,1920.0,4.0,1042435.0,183126.0,0.0,12.0,45.0,0.0,0.0
11436,12084.0,142.0,12.0,27.0,28.0,E302,113.0,3612.0,4.0,6C,R3A,0.0,0.0,11.0,,10.0,0.0,1600.0,0.0,0.0,0.0,0.0,7.5,1.42,0.0,0.0,0.0,0.0,Y,8.0,10.0,10.0,1920.0,4.0,1040004.0,183131.0,0.0,12.0,45.0,0.0,0.0
11436,12082.0,133.0,12.0,27.0,28.0,E302,113.0,3612.0,4.0,6C,R3A,0.0,0.0,11.0,,1512.0,0.0,1600.0,0.0,0.0,0.0,0.0,25.0,58.54,0.0,0.0,0.0,0.0,N,6.0,312.0,312.0,1920.0,4.0,1041647.0,183145.0,0.0,12.0,45.0,0.0,0.0
11436,12110.0,24.0,12.0,27.0,28.0,E302,113.0,3612.0,4.0,6C,R3A,0.0,0.0,11.0,,1875.0,0.0,1600.0,0.0,0.0,0.0,0.0,18.75,100.0,0.0,0.0,0.0,0.0,Y,5.0,1491.0,1491.0,1920.0,4.0,1042094.0,183260.0,0.0,12.0,45.0,0.0,0.0
11436,12112.0,43.0,12.0,27.0,28.0,E302,113.0,3612.0,4.0,6C,R3A,0.0,0.0,11.0,,2000.0,0.0,1600.0,0.0,0.0,0.0,0.0,20.0,100.0,0.0,0.0,0.0,0.0,N,5.0,4178.0,4178.0,1920.0,4.0,1042720.0,183289.0,0.0,12.0,45.0,0.0,0.0
11436,12110.0,125.0,12.0,27.0,28.0,E302,113.0,3612.0,4.0,6C,R3A,0.0,0.0,11.0,,1000.0,0.0,1600.0,0.0,0.0,0.0,0.0,10.0,100.0,0.0,0.0,0.0,0.0,N,8.0,600.0,600.0,1920.0,4.0,1042109.0,183291.0,0.0,12.0,45.0,0.0,0.0
11436,12109.0,56.0,12.0,27.0,28.0,E302,113.0,3612.0,4.0,6C,R3A,0.0,0.0,11.0,,2000.0,0.0,1600.0,0.0,0.0,0.0,0.0,20.0,100.0,0.0,0.0,0.0,0.0,N,5.0,2386.0,2386.0,1920.0,4.0,1041962.0,183300.0,0.0,12.0,45.0,0.0,0.0
11436,12110.0,26.0,12.0,27.0,28.0,E302,113.0,3612.0,4.0,6C,R3A,0.0,0.0,11.0,,1000.0,0.0,1600.0,0.0,0.0,0.0,0.0,10.0,100.0,0.0,0.0,0.0,0.0,N,8.0,600.0,600.0,1920.0,4.0,1042108.0,183302.0,0.0,12.0,45.0,0.0,0.0
11436,12112.0,35.0,12.0,27.0,28.0,E302,113.0,3612.0,4.0,6C,R3A,0.0,0.0,11.0,,2000.0,0.0,1600.0,1.0,0.0,0.0,0.0,20.0,100.0,0.0,0.0,0.0,0.0,N,5.0,2386.0,2386.0,1920.0,4.0,1042628.0,183345.0,0.0,12.0,45.0,0.0,0.0
11436,12081.0,204.0,12.0,27.0,28.0,E302,113.0,3612.0,4.0,6C,R3A,0.0,0.0,11.0,C,190.0,0.0,1600.0,0.0,0.0,0.0,0.0,2.0,95.0,0.0,0.0,0.0,0.0,N,8.0,50.0,50.0,1920.0,4.0,1041445.0,183555.0,0.0,12.0,45.0,0.0,0.0
11436,12108.0,54.0,12.0,27.0,28.0,E302,113.0,3612.0,4.0,6C,R3A,0.0,0.0,11.0,,2000.0,0.0,1600.0,0.0,0.0,0.0,0.0,20.0,100.0,0.0,0.0,0.0,0.0,N,5.0,2984.0,2984.0,1920.0,4.0,1042771.0,183573.0,0.0,12.0,45.0,0.0,0.0
11436,12076.0,20.0,12.0,27.0,28.0,E302,113.0,3612.0,4.0,6C,R3-1,0.0,0.0,11.0,,3722.0,0.0,1600.0,0.0,0.0,0.0,0.0,69.03,35.73,0.0,0.0,0.0,0.0,Y,5.0,2565.0,2565.0,1920.0,4.0,1040213.0,183590.0,0.0,12.0,45.0,0.0,0.0
11436,12108.0,12.0,12.0,27.0,28.0,E302,113.0,3612.0,4.0,6C,R3A,0.0,0.0,11.0,,2000.0,0.0,1600.0,0.0,0.0,0.0,0.0,20.0,100.0,0.0,0.0,0.0,0.0,N,5.0,2386.0,2386.0,1920.0,4.0,1042693.0,183708.0,0.0,12.0,45.0,0.0,0.0
