"","block","lot","cd","schooldist","council","zipcode","firecomp","policeprct","healtharea","sanitboro","sanitsub","zonedist1","spdist1","ltdheight","landuse","ownertype","lotarea","bldgarea","resarea","numbldgs","numfloors","unitsres","unitstotal","lotfront","lotdepth","bldgfront","bldgdepth","ext","proxcode","irrlotcode","lottype","assessland","assesstot","yearbuilt","borocode","xcoord","ycoord","edesignum","sanitdistrict","healthcenterdistrict","pfirm15_flag","last_modif"
"54524",9556,17,"10",27,28,NA,"E285",106,3100,4,"2D","R4-1","0","0","10","",2640,0,1600,0,0,0,0,28.42,92.5,0,0,"0","0","N","5",55350,55350,1920,4,1032803,189658,"0","10","45","0",0
"54536",12193,48,"12",27,28,NA,"L133",113,3400,4,"5C","R3A","0","0","11","",8184,0,1600,0,0,0,0,61,200,0,0,"0","0","Y","5",16719,16719,1920,4,1043293,189014,"0","12","44","0",0
"54537",12178,3,"12",28,28,NA,"E303",113,3400,4,"5C","R3A","0","0","10","",2000,0,1600,0,0,0,0,20,100,0,0,"0","0","N","5",38250,38250,1920,4,1042746,190352,"0","12","44","0",0
"54551",4968,47,"12",11,12,NA,"E038",47,710,2,"5E","R4A","0","0","11","",2375,0,2001,0,0,0,0,25,95,0,0,"0","0","N","5",5322,5322,1920,2,1030754,263729,"0","12","24","0",0
"54567",10159,54,"12",28,27,NA,"E275",103,3400,4,"3D","R6","0","0","9","X",15625,0,1600,0,0,0,0,125,125,0,0,"0","0","N","5",180450,180450,1920,4,1041362,194716,"0","12","44","0",0
"54588",16028,58,"14",27,31,NA,"L121",100,3800,4,"2E","R4-1","0","0","11","",4000,0,1600,1,0,0,0,40,100,0,0,"0","0","N","5",3288,3288,1920,4,1040627,157139,"0","14","45","1",0
"54594",3306,29,"06",28,29,NA,"E305",112,1920,4,"2C","R3-2","0","0","10","",2294,0,1600,1,1,0,0,24.58,93.33,20,20,"0","1","N","5",7959,10930,1950,4,1028834,199764,"0","6","46","0",0
"54606",15969,135,"14",27,31,NA,"E265",101,3800,4,"2E","R4","0","0","11","",95,0,1600,0,0,0,0,5,19,0,0,"0","0","N","8",40,40,1920,4,1045900,157053,"0","14","45","1",0
"54626",1700,59,"03",24,21,NA,"E316",115,610,4,"1C","R4","0","0","10","",2000,0,1600,1,1,0,0,20,100,20,20,"0","0","N","5",3161,4328,1950,4,1022025,215772,"0","3","42","0",0
"54627",7117,5,"08",26,23,NA,"L152",107,2130,4,"1D","R4","1","0","11","",203800,0,1600,0,0,0,0,365,393,0,0,"0","0","Y","1",531506,531506,1920,4,1044896,208923,"0","8","43","0",0
"54679",728,82,"01",30,22,NA,"L117",114,510,4,"5D","R5","0","0","11","",2500,0,1600,0,0,0,0,25,100,0,0,"0","0","N","5",8956,8956,1920,4,1008892,216041,"0","1","41","0",0
"54704",5431,154,"12",20,44,NA,"L148",66,6900,3,"3E","R6","0","0","11","",1535,0,2064,0,0,0,0,12.33,255,0,0,"0","0","Y","5",1477,1477,1920,3,988710,170322,"0","12","39","0",0
"54707",5913,1945,"08",10,11,NA,"E052",50,100,2,"3C","R1-2","1","0","11","",7604,0,2001,0,0,0,0,60,126,0,0,"0","0","Y","5",12315,12315,1920,2,1009040,264802,"0","8","21","0",0
"54726",1332,209,"02",30,26,NA,"E292",108,920,4,"1C","R5B","0","0","11","C",142,0,1600,0,0,0,0,5.61,25.25,0,0,"0","0","N","8",72,72,1920,4,1010542,210128,"0","2","41","0",0
"54742",12245,104,"12",28,28,NA,"L155",113,3400,4,"7C","R3A","0","0","1","",2600,1764,1764,0,2,2,2,26,100,17.5,48.42,"1","1","N","6",3089,23669,2017,4,1044410,187659,"0","12","44","0",0
"54752",8114,103,"11",26,19,NA,"E313",111,2150,4,"4C","R1-2","0","0","11","C",10800,0,1600,0,0,0,0,276,130,0,0,"0","0","Y","5",25560,25560,1920,4,1055182,220243,"0","11","43","0",0
"54755",2343,4,"01",7,17,NA,"L017",40,3800,2,"1A","C4-4","0","0","10","O",4900,0,2001,0,0,0,0,25,100,0,0,"0","0","Y","5",87750,87750,1920,2,1004272,236810,"0","1","23","0",0
"54769",735,53,"01",30,26,NA,"L163",114,520,4,"5C","C8-1","0","0","10","",6103,0,1600,0,0,0,0,66.75,91.43,0,0,"0","0","N","5",104400,104400,1920,4,1008555,214011,"0","1","41","0",0
"54777",12363,71,"12",28,27,NA,"L155",113,3400,4,"5D","R3A","0","0","11","",1800,0,1600,0,0,0,0,15,320,0,0,"0","0","Y","5",160,160,1920,4,1045945,188074,"0","12","44","0",0
"54780",1660,29,"11",4,8,NA,"E091",23,2100,1,"2B","R9A","1","0","11","C",75,0,7664,0,0,0,0,1,75.08,0,0,"0","0","N","8",450,450,1920,1,1000675,228472,"0","11","12","0",0
"54833",13134,26,"13",29,31,NA,"L158",105,3531,4,"8C","R3X","0","0","11","",2500,0,1600,0,0,0,0,20,125,0,0,"0","0","N","5",3283,3283,1920,4,1052987,184829,"0","13","44","0",0
"54834",694,133,"01",31,49,NA,"L083",120,600,5,"3E","PARK","0","0","9","C",1554,0,1500,0,0,0,0,2,777,0,0,"0","0","N","8",2250,2250,1920,5,952839,162374,"0","1","51","0",0
"54844",2611,44,"03",9,16,NA,"L019",42,3500,2,"1B","R6","0","0","10","",2763,0,2001,0,0,0,0,29.06,95.57,0,0,"0","0","Y","5",79200,79200,1920,2,1010727,241632,"0","3","22","0",0
"54877",134,123,"02",30,26,NA,"E325",108,910,4,"2D","R5D","0","0","11","",650,0,1600,0,0,0,0,6.5,100,0,0,"0","0","Y","8",331,331,1920,4,1007794,210979,"0","2","41","0",0
"54887",1043,138,"01",31,49,NA,"E157",121,200,5,"3C","R3A","0","0","11","C",12,0,1500,0,0,0,0,0.12,100,0,0,"0","0","N","8",180,180,1920,5,946674,168390,"0","1","51","0",0
"54925",4497,33,"05",19,42,NA,"L107",75,6410,3,"3C","R4","0","0","11","",2000,0,2064,0,0,0,0,20,100,0,0,"0","0","N","5",2295,2295,1920,3,1023825,182955,"0","5","33","0",0
"54926",7951,141,"13",26,23,NA,"L162",105,2160,4,"2D","R3X","0","0","11","",300,0,1600,0,0,0,0,3,100,0,0,"0","0","N","8",290,290,1920,4,1058042,206372,"0","13","43","0",0
"54971",6472,29,"03",31,51,NA,"E164",123,800,5,"7C","PARK","0","0","9","C",4120,0,1500,0,0,0,0,40,103,0,0,"0","0","Y","5",600,600,1920,5,934308,133730,"0","3","51","0",0
"55122",6373,48,"03",31,51,NA,"E164",123,800,5,"4D","PARK","0","0","9","C",4000,0,1500,0,0,0,0,40,100,0,0,"0","0","N","6",6577,6577,1920,5,937467,134042,"0","3","51","0",0
"55135",7418,40,"11",26,23,NA,"L164",111,2122,4,"6D","R2A","0","0","11","",2000,0,1600,0,0,0,0,20,100,0,0,"0","0","N","5",3338,3338,1920,4,1048165,212548,"0","11","43","0",0
"55201",2342,13,"01",7,17,NA,"L017",40,3800,2,"1A","C4-4","0","0","11","O",625,0,2001,0,0,0,0,25,25,0,0,"0","0","N","5",25650,25650,1920,2,1004495,236900,"0","1","23","0",0
"55210",6944,4,"13",18,43,NA,"",47,163,4," ","R4","0","0","11","",59622,0,2064,0,0,0,0,57,1046.5,0,0,"0","0","Y","5",83773,83773,1920,3,985691,153683,"0","13","30","1",0
